
injection: 0, rbf_PE_time: 2.88 minutes, sim_time: 9.82 minutes
injection: 367, rbf_PE_time: 2.57 minutes, sim_time: 6.07 minutes
injection: 368, rbf_PE_time: 2.18 minutes, sim_time: 5.69 minutes
injection: 369, rbf_PE_time: 2.63 minutes, sim_time: 6.20 minutes
injection: 370, rbf_PE_time: 2.19 minutes, sim_time: 5.68 minutes
injection: 371, rbf_PE_time: 2.19 minutes, sim_time: 5.50 minutes
injection: 372, rbf_PE_time: 3.15 minutes, sim_time: 6.72 minutes
injection: 373, rbf_PE_time: 2.42 minutes, sim_time: 5.92 minutes
injection: 374, rbf_PE_time: 2.49 minutes, sim_time: 6.17 minutes
injection: 375, rbf_PE_time: 2.87 minutes, sim_time: 6.37 minutes
injection: 376, rbf_PE_time: 2.29 minutes, sim_time: 5.93 minutes
injection: 377, rbf_PE_time: 2.10 minutes, sim_time: 5.41 minutes
injection: 378, rbf_PE_time: 2.60 minutes, sim_time: 6.04 minutes
injection: 379, rbf_PE_time: 2.29 minutes, sim_time: 5.77 minutes
injection: 380, rbf_PE_time: 2.13 minutes, sim_time: 5.61 minutes
injection: 381, rbf_PE_time: 2.25 minutes, sim_time: 5.64 minutes
injection: 382, rbf_PE_time: 2.75 minutes, sim_time: 6.23 minutes
injection: 383, rbf_PE_time: 2.02 minutes, sim_time: 5.42 minutes
injection: 384, rbf_PE_time: 2.66 minutes, sim_time: 6.08 minutes
injection: 385, rbf_PE_time: 2.84 minutes, sim_time: 6.39 minutes
injection: 386, rbf_PE_time: 2.30 minutes, sim_time: 6.01 minutes
injection: 387, rbf_PE_time: 2.07 minutes, sim_time: 5.52 minutes
injection: 388, rbf_PE_time: 2.14 minutes, sim_time: 5.60 minutes
injection: 389, rbf_PE_time: 2.43 minutes, sim_time: 5.88 minutes
injection: 390, rbf_PE_time: 2.19 minutes, sim_time: 5.70 minutes
injection: 391, rbf_PE_time: 2.04 minutes, sim_time: 5.35 minutes
injection: 392, rbf_PE_time: 2.36 minutes, sim_time: 5.91 minutes
injection: 393, rbf_PE_time: 2.37 minutes, sim_time: 5.75 minutes
injection: 394, rbf_PE_time: 2.26 minutes, sim_time: 5.89 minutes
injection: 395, rbf_PE_time: 2.11 minutes, sim_time: 5.52 minutes
injection: 396, rbf_PE_time: 2.38 minutes, sim_time: 5.94 minutes
injection: 397, rbf_PE_time: 2.64 minutes, sim_time: 6.42 minutes
injection: 398, rbf_PE_time: 2.04 minutes, sim_time: 5.45 minutes
injection: 399, rbf_PE_time: 2.42 minutes, sim_time: 5.91 minutes
injection: 400, rbf_PE_time: 3.04 minutes, sim_time: 6.33 minutes
injection: 401, rbf_PE_time: 2.23 minutes, sim_time: 5.71 minutes
injection: 402, rbf_PE_time: 2.33 minutes, sim_time: 5.88 minutes
injection: 403, rbf_PE_time: 2.27 minutes, sim_time: 5.59 minutes
injection: 404, rbf_PE_time: 2.09 minutes, sim_time: 5.58 minutes
injection: 405, rbf_PE_time: 2.32 minutes, sim_time: 5.63 minutes
injection: 406, rbf_PE_time: 2.31 minutes, sim_time: 5.81 minutes
injection: 407, rbf_PE_time: 2.32 minutes, sim_time: 5.69 minutes
injection: 408, rbf_PE_time: 2.00 minutes, sim_time: 5.63 minutes
injection: 409, rbf_PE_time: 2.07 minutes, sim_time: 5.48 minutes
injection: 410, rbf_PE_time: 2.15 minutes, sim_time: 5.63 minutes
injection: 411, rbf_PE_time: 2.71 minutes, sim_time: 6.30 minutes
injection: 412, rbf_PE_time: 3.01 minutes, sim_time: 6.49 minutes
injection: 413, rbf_PE_time: 3.12 minutes, sim_time: 6.51 minutes
injection: 414, rbf_PE_time: 1.91 minutes, sim_time: 5.37 minutes
injection: 415, rbf_PE_time: 2.20 minutes, sim_time: 5.66 minutes
injection: 416, rbf_PE_time: 2.88 minutes, sim_time: 6.33 minutes
injection: 417, rbf_PE_time: 2.19 minutes, sim_time: 5.57 minutes
injection: 418, rbf_PE_time: 1.99 minutes, sim_time: 5.55 minutes
injection: 419, rbf_PE_time: 1.94 minutes, sim_time: 5.58 minutes
injection: 420, rbf_PE_time: 2.01 minutes, sim_time: 5.45 minutes
injection: 421, rbf_PE_time: 2.59 minutes, sim_time: 5.97 minutes
injection: 422, rbf_PE_time: 1.90 minutes, sim_time: 5.27 minutes
injection: 423, rbf_PE_time: 2.28 minutes, sim_time: 5.75 minutes
injection: 424, rbf_PE_time: 2.41 minutes, sim_time: 5.78 minutes
injection: 425, rbf_PE_time: 2.21 minutes, sim_time: 5.72 minutes
injection: 426, rbf_PE_time: 2.67 minutes, sim_time: 6.16 minutes
injection: 427, rbf_PE_time: 2.46 minutes, sim_time: 5.94 minutes
injection: 428, rbf_PE_time: 2.16 minutes, sim_time: 5.53 minutes
injection: 429, rbf_PE_time: 1.83 minutes, sim_time: 5.41 minutes
injection: 430, rbf_PE_time: 2.17 minutes, sim_time: 5.62 minutes
injection: 431, rbf_PE_time: 2.24 minutes, sim_time: 5.47 minutes
injection: 432, rbf_PE_time: 2.60 minutes, sim_time: 6.03 minutes
injection: 433, rbf_PE_time: 1.97 minutes, sim_time: 5.62 minutes
injection: 434, rbf_PE_time: 2.24 minutes, sim_time: 6.06 minutes
injection: 435, rbf_PE_time: 2.38 minutes, sim_time: 6.12 minutes
injection: 436, rbf_PE_time: 2.28 minutes, sim_time: 5.69 minutes
injection: 437, rbf_PE_time: 2.12 minutes, sim_time: 5.53 minutes
injection: 438, rbf_PE_time: 2.05 minutes, sim_time: 5.77 minutes
injection: 439, rbf_PE_time: 2.87 minutes, sim_time: 6.31 minutes
injection: 440, rbf_PE_time: 2.11 minutes, sim_time: 5.60 minutes
injection: 441, rbf_PE_time: 2.31 minutes, sim_time: 5.75 minutes
injection: 442, rbf_PE_time: 1.91 minutes, sim_time: 5.28 minutes
injection: 443, rbf_PE_time: 2.38 minutes, sim_time: 5.62 minutes
injection: 444, rbf_PE_time: 2.42 minutes, sim_time: 5.96 minutes
injection: 445, rbf_PE_time: 1.91 minutes, sim_time: 5.43 minutes
injection: 446, rbf_PE_time: 2.27 minutes, sim_time: 5.65 minutes
injection: 447, rbf_PE_time: 2.00 minutes, sim_time: 5.50 minutes
injection: 448, rbf_PE_time: 2.42 minutes, sim_time: 6.10 minutes
injection: 449, rbf_PE_time: 2.28 minutes, sim_time: 5.83 minutes
injection: 450, rbf_PE_time: 2.53 minutes, sim_time: 5.86 minutes
injection: 451, rbf_PE_time: 3.23 minutes, sim_time: 6.51 minutes
injection: 452, rbf_PE_time: 2.40 minutes, sim_time: 5.84 minutes
injection: 453, rbf_PE_time: 2.00 minutes, sim_time: 5.56 minutes
injection: 454, rbf_PE_time: 2.28 minutes, sim_time: 5.79 minutes
injection: 455, rbf_PE_time: 2.57 minutes, sim_time: 6.26 minutes
injection: 456, rbf_PE_time: 2.34 minutes, sim_time: 5.83 minutes
injection: 457, rbf_PE_time: 1.94 minutes, sim_time: 5.30 minutes
injection: 458, rbf_PE_time: 1.99 minutes, sim_time: 5.44 minutes
injection: 459, rbf_PE_time: 2.95 minutes, sim_time: 6.33 minutes
injection: 460, rbf_PE_time: 2.01 minutes, sim_time: 5.43 minutes
injection: 461, rbf_PE_time: 2.10 minutes, sim_time: 5.56 minutes
injection: 462, rbf_PE_time: 2.04 minutes, sim_time: 5.48 minutes
injection: 463, rbf_PE_time: 2.03 minutes, sim_time: 5.59 minutes
injection: 464, rbf_PE_time: 2.57 minutes, sim_time: 6.06 minutes
injection: 465, rbf_PE_time: 2.15 minutes, sim_time: 5.43 minutes
injection: 466, rbf_PE_time: 2.13 minutes, sim_time: 5.54 minutes
injection: 467, rbf_PE_time: 3.23 minutes, sim_time: 6.66 minutes
injection: 468, rbf_PE_time: 2.40 minutes, sim_time: 5.71 minutes
injection: 469, rbf_PE_time: 2.12 minutes, sim_time: 5.57 minutes
injection: 470, rbf_PE_time: 2.95 minutes, sim_time: 6.47 minutes
injection: 471, rbf_PE_time: 2.40 minutes, sim_time: 5.80 minutes
injection: 472, rbf_PE_time: 2.04 minutes, sim_time: 5.56 minutes
injection: 473, rbf_PE_time: 2.03 minutes, sim_time: 5.61 minutes
injection: 474, rbf_PE_time: 1.97 minutes, sim_time: 5.61 minutes
injection: 475, rbf_PE_time: 2.61 minutes, sim_time: 6.17 minutes
injection: 476, rbf_PE_time: 2.63 minutes, sim_time: 7.96 minutes
injection: 477, rbf_PE_time: 2.27 minutes, sim_time: 6.20 minutes
injection: 478, rbf_PE_time: 2.60 minutes, sim_time: 9.32 minutes
injection: 479, rbf_PE_time: 2.68 minutes, sim_time: 6.24 minutes
injection: 480, rbf_PE_time: 2.88 minutes, sim_time: 6.35 minutes
injection: 481, rbf_PE_time: 2.21 minutes, sim_time: 5.69 minutes
injection: 482, rbf_PE_time: 1.97 minutes, sim_time: 5.35 minutes
injection: 483, rbf_PE_time: 2.20 minutes, sim_time: 5.53 minutes
injection: 484, rbf_PE_time: 2.32 minutes, sim_time: 5.74 minutes
injection: 485, rbf_PE_time: 2.06 minutes, sim_time: 5.56 minutes
injection: 486, rbf_PE_time: 2.01 minutes, sim_time: 5.49 minutes
injection: 487, rbf_PE_time: 3.03 minutes, sim_time: 6.40 minutes
injection: 488, rbf_PE_time: 2.26 minutes, sim_time: 5.76 minutes
injection: 489, rbf_PE_time: 2.28 minutes, sim_time: 5.75 minutes
injection: 490, rbf_PE_time: 2.33 minutes, sim_time: 5.77 minutes
injection: 491, rbf_PE_time: 2.49 minutes, sim_time: 5.96 minutes
injection: 492, rbf_PE_time: 2.36 minutes, sim_time: 5.85 minutes
injection: 493, rbf_PE_time: 2.30 minutes, sim_time: 5.74 minutes
injection: 494, rbf_PE_time: 2.17 minutes, sim_time: 5.57 minutes
injection: 495, rbf_PE_time: 3.44 minutes, sim_time: 6.68 minutes
injection: 496, rbf_PE_time: 2.48 minutes, sim_time: 5.88 minutes
injection: 497, rbf_PE_time: 1.98 minutes, sim_time: 5.49 minutes
injection: 498, rbf_PE_time: 2.92 minutes, sim_time: 6.44 minutes
injection: 499, rbf_PE_time: 2.27 minutes, sim_time: 5.68 minutes
